timestamp;algorithm;structure;size;dataType;distribution;iterations;pivot;shellParam;type;duration_us;;;;Right;Left;Random;Middle
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6378;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6545;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6639;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6360;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6769;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6288;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6339;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6414;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6698;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6280;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6341;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6644;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6267;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6416;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6360;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6398;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6480;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6313;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6445;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6285;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6741;;;;;;;
18.04.2026 23:36;ShellSort;Array;25000;int;Random;50;Unknown;original;SINGLE;6302;;;;;;;
